"idade","bin","conta"
0,1,17
1,1,40
2,1,39
3,1,32
4,1,27
5,1,32
6,1,36
7,1,42
8,1,42
9,1,36
10,1,42
11,1,50
12,1,41
13,1,48
14,1,63
15,1,75
16,1,95
17,1,89
18,1,96
19,1,129
20,1,155
21,1,138
22,1,164
23,1,176
24,1,196
25,1,214
26,1,229
27,1,250
28,1,259
29,1,278
30,1,290
31,1,309
32,1,358
33,1,353
34,1,385
35,1,358
36,1,364
37,1,403
38,1,416
39,1,436
40,1,364
41,1,362
42,1,581
43,1,334
44,1,343
45,2,325
46,2,307
47,2,263
48,2,274
49,2,278
50,2,231
51,2,208
52,2,229
53,2,183
54,2,220
55,2,238
56,2,221
57,2,220
58,2,178
59,2,187
60,2,155
61,2,143
62,2,135
63,2,122
64,2,137
65,2,117
66,2,105
67,2,104
68,2,105
69,2,107
70,2,98
71,2,77
72,2,107
73,2,75
74,2,64
75,2,64
76,2,69
77,2,59
78,2,62
79,2,51
80,2,56
81,2,51
82,2,44
83,2,38
84,2,38
85,2,37
86,2,33
87,2,32
88,2,22
89,2,18
